"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""265628126""","=""jorgeoneill7""","=""17954539313353837""","=""El no se abochorna verdad? De hablar mrda de la gente y saludarlos así como si na jajajaja""","=""https://www.instagram.com/jorgeoneill7""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/331776713_5755373184588650_2089483661413834150_n.jpg""","=""30/12/2022, 1:02:31"""
"=""3141591020""","=""slowtime18""","=""17967968477123793""","=""Y la de trabajar te la sabes jajajaja 😂""","=""https://www.instagram.com/slowtime18""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/341745804_260794686287664_5636540812531590925_n.jpg""","=""18/1/2023, 1:26:23"""
"=""49082726927""","=""_delta.rp""","=""17963608952245692""","=""@arribasangel10 pero cobra 90 veces más que tú""","=""https://www.instagram.com/_delta.rp""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/269843361_4858522184168122_1540957848206090877_n.jpg""","=""25/1/2023, 18:19:44"""
"=""1020313636""","=""arribasangel10""","=""17909424371696551""","=""@_delta.rp te envía el o solo le llames en ojal?""","=""https://www.instagram.com/arribasangel10""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/294339372_162156662996672_6692314841026737064_n.jpg""","=""25/1/2023, 18:35:12"""
"=""49082726927""","=""_delta.rp""","=""17973054929065997""","=""@arribasangel10 En vez de llorar y criticar a los demás podrías estudiar un poco que te hace falta""","=""https://www.instagram.com/_delta.rp""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/269843361_4858522184168122_1540957848206090877_n.jpg""","=""25/1/2023, 18:38:03"""
"=""1020313636""","=""arribasangel10""","=""17990792998697865""","=""@_delta.rp seguiré tu consejo pero tu deberías dejar de escuchar a ese tipo si no vas a acabar hostigando a alguna mujer""","=""https://www.instagram.com/arribasangel10""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/294339372_162156662996672_6692314841026737064_n.jpg""","=""25/1/2023, 19:09:31"""
"=""1020313636""","=""arribasangel10""","=""18343852747016564""","=""@_delta.rp q pena la gente como tú que idolatra a un tipo q habla de ser el mejor tras la cámara y luego le lame el culo a todo el panorama""","=""https://www.instagram.com/arribasangel10""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/294339372_162156662996672_6692314841026737064_n.jpg""","=""25/1/2023, 19:11:23"""
"=""49082726927""","=""_delta.rp""","=""18085667098319376""","=""@arribasangel10 Eres de los típicos que se ven un clip descontextualizado y crítica, el ha dicho el mejor porque es lo que el considera y la mentalidad que hay que tener, pero por creer ser el mejor no tienes que ir criticando a los demás, el da su opinión, pero los ofendidos como tú os duele si alguien dice algo fuera de lo común""","=""https://www.instagram.com/_delta.rp""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/269843361_4858522184168122_1540957848206090877_n.jpg""","=""25/1/2023, 19:15:07"""
"=""1020313636""","=""arribasangel10""","=""17964979847053546""","=""@_delta.rp a ver si entiendes que lo que pasa es que el tío dice lo que piensa y luego cuando ve que se le echan encima tira del cable para que no le funen""","=""https://www.instagram.com/arribasangel10""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/294339372_162156662996672_6692314841026737064_n.jpg""","=""25/1/2023, 19:21:19"""
"=""49082726927""","=""_delta.rp""","=""18339452158027100""","=""@arribasangel10 En ningún momento ha hecho eso, el solo rectifica cuando sabe que la a cagado, tiene ocasiones que si como todo el mundo, pero no se hecha atrás por algo que el crea que está bien, pero ser sincero sale caro hoy en día""","=""https://www.instagram.com/_delta.rp""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/269843361_4858522184168122_1540957848206090877_n.jpg""","=""25/1/2023, 19:23:19"""
